,15D,30D,60D,90D,120D,,Average
DXY,0.058,-0.668,-0.608,-0.820,-0.720,,-0.552
GOLD,-0.051,0.609,0.567,0.853,0.722,,0.540
VIX,-0.206,-0.069,-0.013,-0.456,-0.436,,-0.236
US10Y,0.057,-0.522,-0.387,-0.682,-0.651,,-0.437
